co    N    IDLE
14    1    9
26    2    20
36    3    25.75
44    4    31
50    5    34.67
61    6    42.14
63    7    53.18
66    8    56
74    9    54.67
82    10    55.52
90    11    58.47
84    12    56.52
93    13    62
99    14    64.55
93    15    66.22
97    16    64.43
103    17    67.56
108    18    70.23
118    19    76.67
103    20    73.51
108    21    73.91
113    22    74.25
118    23    77
122    24    79
128    25    82.06
129    26    83.67
117    27    84.28
120    28    87.28999999999999
129    29    92
99    30    94
130    31    95.65
129    32    84
138    33    89.4
141    34    90.7
145    35    92
131    36    92.67
137    37    89.67
147    38    97
142    39    98.01
143    40    98
134    41    94.67
135    42    93.65
139    43    96.99
143    44    98.34
145    45    98.99
147    46    97.67
148    47    98.33
147    48    99
150    49    99.67
148    50    95.32
